brand,title,type,price,sold,type_cleaned
Maison Alhambra,Glacier Le Noir by Maison Alhambra 3.4oz EDP for Men NEW SEALED CAN,eau de parfum,26.5,3.0,Eau de Parfum
Paco Rabanne,"Paco Rabanne One Million - Distinct 3.4oz Men's EDT Cologne, Sealed",eau de toilette,50.99,15.0,Eau de Toilette
Dolce & Gabbana,K by Dolce & Gabbana cologne for men EDP 3.3 / 3.4 oz New Tester,eau de perfume,46.15,494.0,Eau de Parfum
Dolce&Gabbana,Dolce & Gabbana K (King) Eau de Parfum Intense for Men 3.3 Oz / 100ml,eau de parfum intense,77.99,9.0,Eau de Parfum
Giorgio Armani,Emporio Armani Stronger With You Intensely 3.4 oz EDP Cologne for Men New in Box,eau de parfum,110.08,684.0,Eau de Parfum
Franck Olivier,Franck Olivier Men's Pure Homme EDT Spray 3.4 oz Fragrances 3516642062117,fragrances,18.79,9.0,Other
Burberry,BURBERRY Men's Classic 3.3 oz / 100 ml EDT Cologne Spray,eau de toilette,32.99,3.0,Eau de Toilette
Parfums de Marly,Parfums de Marly Kalan 4.2 fl oz / 125 ml Spray with box Men's Fragrances,eau de parfum,110.0,6.0,Eau de Parfum
GIORGIO ARM.ANI,ACQUA DI GIO Eau De Toilette 3.4 oz/ 100 ml GIORGIO ARM.ANI for Men,eau de toilette,36.68,1.0,Eau de Toilette
Victor & Rolf,Victor & Rolf Spicebomb Extreme EDP 1.7 oz/ 50 ML  Spray For Men,eau de parfum,74.59,1.0,Eau de Parfum
Polo,Polo Double Black by Ralph Lauren for Men EDT Spray 4.2 oz / 125 ml New In Box,eau de toilette,41.79,174.0,Eau de Toilette
Roberto Cavalli,Roberto Cavalli Men's Uomo EDT Spray 3.4 oz (100 ml) Sealed,eau de toilette,42.95,8.0,Eau de Toilette
Bentley,Bentley Intense by Bentley 3.4 oz EDP Cologne for Men New In Box TESTER,eau de parfum,28.99,65.0,Eau de Parfum
Azzaro,Azzaro The Most Wanted 3.3 oz EDP Intense Cologne for Men New In Box,eau de parfum,93.91,111.0,Eau de Parfum
Salvatore Ferragamo,F Ferragamo Free Time by Salvatore Ferragamo for men EDT 3.3 / 3.4 oz New Tester,eau de toilette,21.0,785.0,Eau de Toilette
Emanuelle Ungaro,Diva by Emanuel Ungaro 3.4 oz for Women edp New in Box,eau de perfume,31.89,226.0,Eau de Parfum
Mercedes-Benz,MERCEDES BENZ CLUB BLACK EDT 3.4 OZ / 100 ML FOR MEN (NEW IN WHITE BOX),eau de toilette,37.99,2.0,Eau de Toilette
Versace,VERSACE EROS FLAME by Versace for men cologne EDP 3.3 / 3.4 oz New in Box,eau de parfum,58.09,550.0,Eau de Parfum
Davidoff,Cool Water by Davidoff 4.2 oz EDT Cologne for Men New In Box,eau de toilette,25.23,40130.0,Eau de Toilette
Ralph Lauren,Polo Blue by Ralph Lauren Eau De Parfum Spray 4.2 oz 125 ml For Men,eau de parfum,43.0,32.0,Eau de Parfum
CURVE,Curve Chill by Liz Claiborne Cologne for Men 4.2 oz New In Box,eau de cologne,16.82,1992.0,Cologne
Penhaligon's,Penhaligon's The Omniscient Mister Thompson 2.5 oz/75 ml Eau de Parfum Spray New,eau de parfum,188.99,1.0,Eau de Parfum
Emporio Armani,Armani Stronger With You  100ml /3.4 oz Stronger With You Amber EDP for Men NIB,eau de parfum,69.99,6.0,Eau de Parfum
Salvatore Ferragamo,"Salvatore Ferragamo Men's ""F"" Pour Homme Black EDT Spray 3.4 oz Fragrances",eau de toilette,28.19,23.0,Eau de Toilette
Kenneth Cole,Kenneth Cole All Over Body Spray for Men 6 Oz Choose Scent,body spray,10.99,368.0,Body Spray
Diesel,Fuel For Life Cologne by Diesel Eau De Toilette Spray 1.7 oz for Men  **NiB**,eau de toilette,16.99,28.0,Eau de Toilette
Paco Rabanne,Phantom by Paco Rabanne 3.4 oz EDT Cologne for Men Brand New In Box,eau de toilette,70.08,1165.0,Eau de Toilette
As Show,Sauvage EDP Eau de Parfum Cologne for Men 3.4 oz New In Box Free Shipping,eau de parfum,69.99,49.0,Eau de Parfum
Hollister,SO CAL Hollister  (3.4oz/100ml( Eau De Cologne Spray Sealed New,eau de cologne,46.75,3.0,Cologne
Burberry,Burberry Hero 3.3 oz EDP Cologne for Men Brand New In Box,eau de parfum,75.65,16.0,Eau de Parfum
Yves Saint Laurent,Yves Saint Laurent Men's Y Eau de Parfum Intense EDP Spray 3.38 oz Fragrances,eau de parfum,94.93,15.0,Eau de Parfum
Afnan,Turathi Blue by Afnan EDP Spray for Men 3.0oz New Sealed Box,eau de parfum,34.5,16.0,Eau de Parfum
Michael Malul London,Michael Malul Ocean Noir 3.4 oz / 100 ml eau de parfum for men Spray New,eau de parfum,90.11,51.0,Eau de Parfum
Estée Lauder,Pleasures by Estee Lauder 1.7 oz / 50 ml Cologne Spray for Men,eau de cologne,19.99,10.0,Cologne
Mercedes-Benz,Mercedez Benz Club Black 3.3 oz EDT Spray Mens Cologne 100ml NIB,eau de toilette,47.99,17.0,Eau de Toilette
PRADA,Prada L'Homme Intense 3.3 oz./ 100 ml. Eau De Parfum Spray for Men,eau de parfum,113.98,755.0,Eau de Parfum
Cologne,Jo Malone London Cypress Grapevine Intense Eau de Parfum 1.7 oz 50 ml NWOB,eau de parfum,67.5,3.0,Eau de Parfum
Pierre Cardin,Pierre Cardin Fusion Men's Eau de Toilette Spray. Cool Scent. New in box. 1.7 oz,eau de toilette,7.28,149.0,Eau de Toilette
RawChemistry,FOR HIM by RAW CHEMISRTY 30ml/1oz Peromone Cologne Spray,cologne,30.95,4.0,Cologne
Michael Malul London,Ocean Noir EDP Perfume By Michael Malul 100 ML (Eau De Parfum) (For Men),eau de parfum,89.99,8.0,Eau de Parfum
Cologne,Parfum For men sauvage cologne Eau De perfum 100ml fl 3.4oz,perfume,68.89,25.0,Perfume
Sterling,"Club De Nuit Urban Elixir by Armaf, 3.6 oz EDP Spray for Men",eau de parfum,38.98,129.0,Eau de Parfum
Paco Rabanne,INVICTUS Paco Rabanne men cologne edt 3.4 oz 3.3 NEW TESTER,eau de toilette,46.0,1207.0,Eau de Toilette
Burberry,Burberry Touch Men EDT 3.4 oz Cologne New in Box,eau de toilette,32.99,59.0,Eau de Toilette
PRADA,PRADA LUNA ROSSA EXTREME EDP 1.7 oz 50 ml EDP Spray New no box same as pic *RARE,eau de parfum,181.04,30.0,Eau de Parfum
Afnan,"Supremacy Not Only Intense by Afnan, 3.4 oz EDP Spray for Men",eau de parfum,38.41,147.0,Eau de Parfum
Liz Claiborne,"Liz Claiborne Curve Crush for Men Eau de Cologne for Men, 4.2 Oz",eau de cologne,17.98,150.0,Cologne
Territoire,Territoire Gold 79 Eau de Parfum Spray for Men. Smooth & Spicy Scent. 3.4 fl.oz,eau de parfum,16.49,77.0,Eau de Parfum
Jimmy Choo,Jimmy Choo Man Ice / Jimmy Choo EDT Spray 3.3 oz (100 ml) (m),eau de toilette,31.95,8.0,Eau de Toilette
Hollister,SOCAL by HOLLISTER SO CAL 1.7 oz 50ml EAU DE COLOGNE SPRAY MEN NEW 🌺SEALED,eau de cologne spray,26.75,5.0,Cologne
Bentley,Bentley For Men Absolute / Bentley Fragrances EDP Spray 3.4 oz (100 ml) (m),eau de parfum,29.13,13.0,Eau de Parfum
Viktor & Rolf,Spicebomb Night Vision 3.04 Oz Eau De Parfum Spray by Viktor & Rolf NEW IN BOX,eau de parfum,74.85,2.0,Eau de Parfum
Armaf,Armaf Tres Nuit 3.4 oz/100ml Eau De Toilette for Men,eau de toilette,28.95,1306.0,Eau de Toilette
Lapidus,LAPIDUS Pour Homme By Ted Lapidus Eau De Toilette 3.3 oz / 100 ml For Men,eau de toilette,20.25,24.0,Eau de Toilette
Mary Kay,Mary Kay Domain Men’s Cologne,eau de cologne,30.0,24.0,Cologne
Guy Laroche,Drakkar Noir by Guy Laroche 3.4 oz EDT Cologne for Men New In Box,eau de toilette,18.91,5500.0,Eau de Toilette
L’OCCITANE,L'Occitane En Provence Eau Des Baux EDT 3.4 oz 100 ml Eav Des Bavx New Original,eau de toilette,59.0,4.0,Eau de Toilette
Giorgio Armani,Acqua Di Gio Absolu Giorgio Armani EDP 125 ML / 4.2 Fl Oz Men Perfume,eau de parfum,192.0,37.0,Eau de Parfum
Jimmy Choo,Jimmy Choo Man Ice / Jimmy Choo EDT Spray 1.7 oz (50 ml) (m),eau de toilette,24.43,4.0,Eau de Toilette
Have A Scent,SAUVAGE MEN  FRAGRANCE OIL  BY HAVE A SCENT 12 ML,roll on,9.99,94.0,Other
Yves Saint Laurent,NIB YSL Yves Saint Laurent MYSLF EDP Spray 3ml / 0.1oz MYSELF NEW FOR 2023,eau de parfum,15.99,91.0,Eau de Parfum
Carolina Herrera,HERRERA for Men Carolina Herrera Cologne EDT 3.4 oz 3.3 New in Box,eau de toilette,40.59,2934.0,Eau de Toilette
Giorgio Armani,"Acqua di Gio by Giorgio Armani for Men,  Eau de Toilette 6.7 oz Spray New in Box",eau de toilette,44.99,19.0,Eau de Toilette
SECERTMU,New 2024 Sexy Cologne Cupid Hypnosis Long Lasting Pheromone Perfume for Men,perfume,6.96,102.0,Perfume
J. Del Pozo,Halloween Man X by Jesus Del Pozo 4.2 oz EDT Cologne for Men New In Box,eau de toilette,37.98,612.0,Eau de Toilette
